field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
11,Amount applied for,Amount applied for: NA/NP flag,amount_applied_for_flag,Single response,900;988;999,Code 900 - Applicable and reported; Code 988 - Applicable but not provided by applicant and otherwise undetermined; Code 999 - Not applicable,Required for all application records,Indicate whether 'amount applied for' is provided by entering one of the specified codes.,12 CFR 1002.107(a)(7),,"Must equal 900, 988 or 999"
12,Amount applied for,Amount applied for,amount_applied_for,Numeric,,,Conditionally required if 'amount applied for: NA/NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter one of the following:<ul><li>The dollar amount for initial amount of credit/credit limit requested by applicant at the application stage</li><li>If application is in response to a firm offer that specifies an amount or limit, the dollar amount of the firm offer, unless the applicant requested a different amount</li><li>If application is in response to a firm offer that does not specify an amount or limit and the applicant did not request a specific amount, the dollar amount underwritten</li><li>If application is in response to a firm offer that specifies an amount or limit as a range and the applicant did not request a specific amount, the dollar amount underwritten</li><li>If applicant did not request a particular amount but the financial institution underwrites for a specific amount, the dollar amount underwritten</li><li>If applicant requested a range of dollar amounts, the midpoint of that range</li><li>If application is a request for additional amounts on an existing account, the dollar amount of additional credit requested</li></ul>",12 CFR 1002.107(a)(7),"For $12,345, enter 12345","When present, must be a numeric value; When present, must be greater than 0"
13,Amount approved or originated,Amount approved or originated,amount_approved,Numeric,,,Conditionally required if 'action taken' is code 1 or 2. Report not applicable by leaving blank if codes 1 or 2 are not entered.,"Enter one of the following:<ul><li>For a closed-end origination, the amount of the originated loan</li><li>For a closed-end application, the highest amount approved if the application was approved but not accepted</li><li>For an open-end origination, the amount of the credit limit established</li><li>For an open-end application, the highest amount approved if the application was approved but not accepted</li><li>For additional credit amounts that were approved for or originated on an existing account, report the additional credit amount approved or originated, and not any previous amount extended</li><li>Leave blank if amount approved or originated is not applicable because an application is denied, withdrawn, or incomplete</li></ul>",12 CFR 1002.107(a)(8),"For $101.23, enter 101.23","When present, must be a numeric value; When present, must be greater than 0"
14,Action taken,Action taken,action_taken,Single response,1;2;3;4;5,Code 1 - Originated; Code 2 - Approved but not accepted; Code 3 - Denied; Code 4 - Withdrawn by the applicant; Code 5 - Incomplete,Required for all application records,Indicate what action is taken by entering one of the specified codes.,12 CFR 1002.107(a)(9),,"Must equal 1, 2, 3, 4, or 5"
15,Action taken date,Action taken date,action_taken_date,Date,,,Required for all application records,"Enter, in numeral form, the date the action was taken as a year, month, and day (YYYYMMDD).",12 CFR 1002.107(a)(10),"For October 25, 2028, enter 20281025","Must be a real calendar date using YYYYMMDD format; The date indicated must occur within the current reporting period: January 1, 2028 to December 31, 2028"
16,Census tract,Type of address,census_tract_adr_type,Single response,1;2;3;988,Code 1 - Address or location where the loan proceeds will principally be applied; Code 2 - Address or location of borrower's main office or headquarters; Code 3 - Another address or location associated with the applicant; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate the type of address or location used to determine the census tract by entering one of the specified codes.,12 CFR 1002.107(a)(13),,"Must equal 1, 2, 3 or 988"
17,Census tract,Tract number,census_tract_number,Special (width 11 characters),,,"Conditionally required if 'type of address' is code 1, 2, or 3. Leave blank if code 988 is entered.","Enter the 11-digit census tract number as defined by the U.S. Census Bureau of the appropriate one of the following:<ul><li>Address where the loan proceeds will principally be applied, if known</li><li>If the proceeds address is not known, location of borrower's main office or headquarters</li><li>If neither of those addresses are known, another address or location associated with the applicant</li></ul>Do not use decimals.",12 CFR 1002.107(a)(13),"06037264000 (a census tract within Los Angeles County, CA)","When present, must be a GEOID with exactly 11 digits; When present, should be a valid census tract GEOID as defined by the U.S. Census Bureau"
18,Gross annual revenue,Gross annual revenue: NP flag,gross_annual_revenue_flag,Single response,900;988,Code 900 - Provided; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether 'gross annual revenue' is reported by entering one of the specified codes.,12 CFR 1002.107(a)(14),,Must equal 900 or 988
19,Gross annual revenue,Gross annual revenue,gross_annual_revenue,Numeric,,,Conditionally required if 'gross annual revenue: NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter the dollar amount of the applicant's gross annual revenue for its preceding full fiscal year. A financial institution is permitted, but not required, to report the gross annual revenue for the applicant that includes the revenue of affiliates as well. If a business has no gross annual revenue to report (e.g., a startup, a new line of business, and/or a business with a change in structure or ownership), the financial institution would report that the applicant's gross annual revenue in its preceding full fiscal year is 0.",12 CFR 1002.107(a)(14),"If $855,430, enter 855430 or 855430.00; If $855,430.17, enter 855430.17; If $0, enter 0","When present, must be a numeric value"
20,North American Industry Classification System (NAICS) code,North American Industry Classification System (NAICS) code: NP flag,naics_code_flag,Single response,900;988,Code 900 - Reported; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether NAICS code is provided by entering one of the specified codes.,12 CFR 1002.107(a)(15),,Must equal 900 or 988
21,North American Industry Classification System (NAICS) code,North American Industry Classification System (NAICS) code,naics_code,Special (width 3 characters),,,Conditionally required if 'North American Industry Classification System (NAICS) code: NP flag' is code 900. Leave blank if code 900 is not entered.,Enter a three-digit NAICS code appropriate for the applicant.,12 CFR 1002.107(a)(15),311 (a business engaged in the food processing sector),"When present, must be exactly three numeric characters; When present, should be a valid NAICS code"
22,Time in business,Type of response,time_in_business_type,Single response,1;2;3;988,Code 1 - The number of years the applicant has been in business is collected or obtained by the financial institution; Code 2 - Applicant has been in business less than two years; Code 3 - Applicant has been in business two or more years; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether the applicant provided information on 'time in business' by entering one of the specified codes.,12 CFR 1002.107(a)(17),,"Must equal 1, 2, 3, or 988"
23,Time in business,Time in business,time_in_business,Numeric,,,Conditionally required if 'time in business: type of response' is code 1. Leave blank if code 1 is not entered.,"Enter the number of years the applicant has been in business, as collected or obtained by the financial institution, rounding down to the nearest whole number of years.",12 CFR 1002.107(a)(17),12,"When present, must be a whole number; When present, must be greater than or equal to 0"
24,"Minority-owned and women-owned business statuses",Business ownership status,business_ownership_status,Multiple response,1;2;955;966;988,Code 1 - Minority-owned business; Code 2 - Women-owned business; Code 955 - None of these apply; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Required for all application records,"Indicate whether the applicant is a minority-owned and/or women-owned business by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one applicable business ownership status, enter each, in any order, separated by a semicolon. If the applicant reports that they are a women-owned and/or minority-owned business but also responds that they do not wish to provide this information, enter codes 1 and/or 2 as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(18),"If women-owned, enter 2; If women-owned and minority+-owned, enter 2;1 or 1;2;","Each value (separated by semicolons) must equal 1, 2, 955, 966, or 988; Must contain at least one value; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
25,Number of principal owners,Number of principal owners: NP flag,num_principal_owners_flag,Single response,900;988,Code 900 - Reported; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether number of principal owners is provided by entering one of the specified codes.,12 CFR 1002.107(a)(20),,Must equal 900 or 988
26,Number of principal owners,Number of principal owners,num_principal_owners,Single response,,,Conditionally required if 'number of principal owners: NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter the number of the applicant's principal owners. If no principal owner has at least 25% ownership of the business, enter 0.",12 CFR 1002.107(a)(20),,"When present, must equal 0, 1, 2, 3, or 4"
27,Demographic information of principal owner 1,Ethnicity of principal owner 1,po_1_ethnicity,Multiple response,1;2;966;988,Code 1 - Hispanic or Latino; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the ethnicity of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner but also responds that they do not wish to provide this information, enter the ethnicity codes (1 and/or 2) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19)," If Hispanic or Latino and the applicant responded that they did not wish to provide this information, enter 1.","When present, each value (separated by semicolons) must equal 1, 2, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
28,Demographic information of principal owner 1,Race of principal owner 1,po_1_race, Multiple response,1;2;3;4;5;966;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 3 - Black or African American; Code 4 - Native Hawaiian or Other Pacific Islander; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the race of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner but also responds that they do not wish to provide this information, enter the race codes (1, 2, 3, 4, and/or 5) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Black and White, enter 1;5 or 5;1; If Asian and the applicant responded that they did not wish to provide this information, enter 2.","When present, each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
29,Demographic information of principal owner 1,Sex of principal owner 1,po_1_sex, Multiple response,1;2;966;988,Code 1 - Male; Code 2 - Female; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 1 is provided (such as on the demographic data collection form) by entering one of the specified codes.",12 CFR 1002.107(a)(19,"When present, must equal 1, 2, 966, or 988"
30,Demographic information of principal owner 2,Ethnicity of principal owner 2,po_2_ethnicity, Multiple response,1;2;966;988,Code 1 - Hispanic or Latino; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the ethnicity of the applicant's principal owner 2 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner but also responds that they do not wish to provide this information, enter the ethnicity codes (1 and/or 2) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19)," If Hispanic or Latino and the applicant responded that they did not wish to provide this information, enter 1.","When present, each value (separated by semicolons) must equal 1, 2, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
31,Demographic information of principal owner 2,Race of principal owner 2,po_2_race, Multiple response,1;2;3;4;5;966;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 3 - Black or African American; Code 4 - Native Hawaiian or Other Pacific Islander; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the race of the applicant's principal owner 2 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner but also responds that they do not wish to provide this information, enter the race codes (1, 2, 3, 4, and/or 5) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Black and White, enter 1;5 or 5;1; If Asian and the applicant responded that they did not wish to provide this information, enter 2.","When present, each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
32,Demographic information of principal owner 2,Sex of principal owner 2,po_2_sex, Multiple response,1;2;966;988,Code 1 - Male; Code 2 - Female; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 2 is provided (such as on the demographic data collection form) by entering one of the specified codes.",12 CFR 1002.107(a)(19,"When present, must equal 1, 2, 966, or 988"
33,Demographic information of principal owner 3,Ethnicity of principal owner 3,po_3_ethnicity, Multiple response,1;2;966;988,Code 1 - Hispanic or Latino; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the ethnicity of the applicant's principal owner 3 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner but also responds that they do not wish to provide this information, enter the ethnicity codes (1 and/or 2) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19)," If Hispanic or Latino and the applicant responded that they did not wish to provide this information, enter 1.","When present, each value (separated by semicolons) must equal 1, 2, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
34,Demographic information of principal owner 3,Race of principal owner 3,po_3_race, Multiple response,1;2;3;4;5;966;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 3 - Black or African American; Code 4 - Native Hawaiian or Other Pacific Islander; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the race of the applicant's principal owner 3 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner but also responds that they do not wish to provide this information, enter the race codes (1, 2, 3, 4, and/or 5) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Black and White, enter 1;5 or 5;1; If Asian and the applicant responded that they did not wish to provide this information, enter 2.","When present, each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
35,Demographic information of principal owner 3,Sex of principal owner 3,po_3_sex, Multiple response,1;2;966;988,Code 1 - Male; Code 2 - Female; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 3 is provided (such as on the demographic data collection form) by entering one of the specified codes.",12 CFR 1002.107(a)(19,"When present, must equal 1, 2, 966, or 988"
36,Demographic information of principal owner 4,Ethnicity of principal owner 4,po_4_ethnicity,Multiple response,1;2;966;988,Code 1 - Hispanic or Latino; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the ethnicity of the applicant's principal owner 4 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner but also responds that they do not wish to provide this information, enter the ethnicity codes (1 and/or 2) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19)," If Hispanic or Latino and the applicant responded that they did not wish to provide this information, enter 1.","When present, each value (separated by semicolons) must equal 1, 2, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
37,Demographic information of principal owner 4,Race of principal owner 4,po_4_race,Multiple response,1;2;3;4;5;966;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 3 - Black or African American; Code 4 - Native Hawaiian or Other Pacific Islander; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the race of the applicant's principal owner 4 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner but also responds that they do not wish to provide this information, enter the race codes (1, 2, 3, 4, and/or 5) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Black and White, enter 1;5 or 5;1; If Asian and the applicant responded that they did not wish to provide this information, enter 2.","When present, each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 966, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
38,Demographic information of principal owner 4,Sex of principal owner 4,po_4_sex, Multiple response,1;2;966;988,Code 1 - Male; Code 2 - Female; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 4 is provided (such as on the demographic data collection form) by entering one of the specified codes.",12 CFR 1002.107(a)(19,"When present, must equal 1, 2, 966, or 988"
